ID_customer;avg_ticket;total_amount;ticket_std_dev;purchases;frequency;inactive_days;web_purchases;app_purchases;mon_thur_purchases;frid_sund_purchases;lunch_purchases;evening_purchases;low_ticket;medium_ticket;big_ticket
34; 21.1 ; 105.3 ; 8.8 ;5;42;141;0;5;2;3;2;3;5;0;0
35; 18.3 ; 55.0 ; 6.2 ;3;28;281;0;3;3;0;0;3;3;0;0
36; 44.3 ; 88.6 ; 11.2 ;2;1;42;0;2;1;1;1;1;0;1;1
37; 21.0 ; 1,051.9 ; 11.1 ;50;7;2;0;50;18;32;32;18;33;17;0
38; 33.3 ; 66.6 ; 12.3 ;2;9;13;0;2;1;1;1;1;1;1;0
39; 25.1 ; 125.3 ; -   ;5;10;244;0;5;2;3;5;0;5;0;0
40; 19.7 ; 39.5 ; 7.1 ;2;6;272;0;2;0;2;2;0;2;0;0
41; 32.2 ; 193.3 ; 12.0 ;6;29;67;0;6;3;3;4;2;2;4;0
42; 36.6 ; 73.2 ; -   ;2;8;127;2;0;1;1;0;2;0;2;0
43; 63.3 ; 189.9 ; 10.2 ;3;118;71;0;3;1;2;3;0;0;0;3
44; 16.5 ; 33.0 ; 2.3 ;2;32;110;0;2;0;2;1;1;2;0;0
45; 36.9 ; 110.7 ; 6.4 ;3;112;149;0;3;1;2;1;2;0;3;0
46; 52.3 ; 209.1 ; 29.1 ;4;107;24;0;4;1;3;1;3;1;2;1
47; 43.1 ; 301.7 ; 16.0 ;7;21;0;0;7;1;6;6;1;2;3;2
48; 43.5 ; 695.9 ; 5.2 ;16;25;3;0;16;2;14;6;10;0;16;0
49; 99.1 ; 594.7 ; 49.6 ;6;30;194;0;6;0;6;4;2;0;0;6
50; 44.9 ; 224.3 ; 18.1 ;5;55;89;0;5;1;4;5;0;2;1;2
51; 49.3 ; 197.1 ; 4.8 ;4;41;86;0;4;1;3;4;0;0;4;0
52; 30.6 ; 337.1 ; 15.6 ;11;10;73;0;11;2;9;4;7;4;7;0
53; 51.7 ; 207.0 ; 4.1 ;4;24;42;0;4;1;3;4;0;0;3;1
54; 89.5 ; 357.9 ; 105.4 ;4;31;171;0;4;1;3;3;1;1;0;3
55; 34.2 ; 68.4 ; 10.0 ;2;12;221;0;2;0;2;0;2;1;1;0
56; 15.0 ; 30.0 ; -   ;2;5;212;0;2;1;1;0;2;2;0;0
57; 18.6 ; 37.2 ; 1.1 ;2;5;46;2;0;2;0;2;0;2;0;0
58; 50.4 ; 100.7 ; 5.4 ;2;119;11;2;0;0;2;1;1;0;1;1
59; 36.5 ; 109.6 ; 6.7 ;3;16;172;3;0;1;2;1;2;1;2;0
60; 30.5 ; 152.7 ; 15.8 ;5;46;20;0;5;0;5;2;3;2;3;0
61; 30.0 ; 60.1 ; 7.4 ;2;139;28;0;2;2;0;0;2;1;1;0
62; 64.1 ; 320.7 ; 16.8 ;5;9;179;0;5;1;4;2;3;0;0;5
63; 54.7 ; 109.3 ; 11.9 ;2;1;343;0;2;2;0;0;2;0;1;1
64; 26.8 ; 133.8 ; 16.3 ;5;32;23;0;5;3;2;2;3;3;2;0
65; 21.1 ; 105.3 ; 8.8 ;5;104;45;0;5;5;0;5;0;5;0;0
66; 24.0 ; 120.0 ; 7.3 ;5;59;2;0;5;3;2;1;4;3;2;0
67; 16.7 ; 599.5 ; 4.3 ;36;5;5;0;36;21;15;18;18;36;0;0
68; 29.8 ; 59.5 ; 7.0 ;2;45;55;0;2;2;0;2;0;1;1;0
69; 41.0 ; 287.2 ; 6.3 ;7;23;5;0;7;1;6;5;2;0;7;0
70; 27.6 ; 110.5 ; 3.1 ;4;56;120;0;4;3;1;4;0;3;1;0
71; 27.3 ; 136.3 ; 16.5 ;5;10;106;0;5;2;3;1;4;3;2;0
72; 47.5 ; 94.9 ; 1.1 ;2;221;10;0;2;0;2;0;2;0;2;0
73; 20.5 ; 205.0 ; 5.1 ;10;12;75;0;10;2;8;5;5;10;0;0
74; 37.8 ; 113.5 ; 16.3 ;3;115;80;0;3;1;2;2;1;1;2;0
75; 45.0 ; 1,304.2 ; 22.9 ;29;6;1;29;0;5;24;14;15;10;9;10
76; 23.0 ; 115.0 ; 19.0 ;5;27;10;5;0;3;2;5;0;3;2;0
77; 53.3 ; 426.1 ; 25.4 ;8;47;22;0;8;0;8;5;3;3;2;3
78; 29.3 ; 146.5 ; 13.0 ;5;13;8;0;5;4;1;3;2;3;2;0
79; 23.2 ; 162.7 ; 16.2 ;7;26;37;7;0;6;1;6;1;5;2;0
80; 57.4 ; 976.2 ; 20.1 ;17;13;20;0;17;4;13;16;1;0;0;17
81; 21.3 ; 340.1 ; 6.2 ;16;23;0;0;16;0;16;12;4;16;0;0
82; 31.4 ; 125.7 ; 2.2 ;4;35;22;4;0;0;4;3;1;1;3;0
83; 35.0 ; 140.1 ; 16.6 ;4;55;10;0;4;0;4;4;0;1;3;0
84; 25.0 ; 100.1 ; 10.6 ;4;48;90;4;0;0;4;1;3;3;1;0
85; 36.6 ; 292.9 ; 10.2 ;8;31;10;7;1;1;7;7;1;3;5;0
86; 20.0 ; 40.1 ; -   ;2;8;16;1;1;1;1;1;1;2;0;0
87; 61.3 ; 122.5 ; 14.3 ;2;221;99;0;2;0;2;2;0;0;0;2
88; 24.4 ; 48.8 ; 8.7 ;2;191;16;0;2;1;1;2;0;1;1;0
89; 47.1 ; 94.2 ; 0.5 ;2;256;47;0;2;1;1;0;2;0;2;0
90; 79.2 ; 237.6 ; 25.6 ;3;23;61;0;3;1;2;3;0;0;0;3
91; 44.6 ; 89.3 ; 25.3 ;2;7;152;0;2;0;2;2;0;1;0;1
92; 48.1 ; 96.2 ; 0.9 ;2;50;62;2;0;0;2;2;0;0;2;0
93; 17.5 ; 69.9 ; 2.9 ;4;32;28;0;4;3;1;2;2;4;0;0
94; 20.2 ; 302.7 ; 6.8 ;15;15;20;0;15;5;10;9;6;15;0;0
95; 25.5 ; 51.0 ; 4.2 ;2;84;2;0;2;2;0;2;0;2;0;0
96; 66.1 ; 132.2 ; 13.6 ;2;10;292;0;2;2;0;2;0;0;0;2
97; 47.1 ; 188.4 ; 0.8 ;4;63;21;3;1;0;4;2;2;0;4;0
98; 53.4 ; 747.7 ; 15.3 ;14;24;16;0;14;0;14;13;1;0;9;5
99; 46.7 ; 140.2 ; 0.8 ;3;168;26;0;3;2;1;1;2;0;3;0
100; 15.6 ; 77.9 ; 1.4 ;5;6;160;0;5;5;0;1;4;5;0;0
101; 24.9 ; 74.6 ; 8.0 ;3;61;179;0;3;2;1;2;1;2;1;0
102; 35.8 ; 286.5 ; 11.9 ;8;27;32;1;7;2;6;5;3;3;5;0
103; 52.6 ; 578.5 ; 11.8 ;11;18;32;11;0;0;11;11;0;0;7;4
104; 33.3 ; 166.6 ; 21.3 ;5;40;41;0;5;4;1;3;2;2;3;0
105; 30.2 ; 150.9 ; -   ;5;31;74;5;0;4;1;2;3;0;5;0
106; 20.7 ; 83.0 ; 3.1 ;4;66;66;0;4;3;1;3;1;4;0;0
107; 48.7 ; 146.1 ; 25.3 ;3;147;15;0;3;1;2;1;2;1;1;1
108; 24.4 ; 537.4 ; 9.4 ;22;14;5;0;22;6;16;14;8;15;7;0
109; 25.1 ; 50.1 ; -   ;2;45;101;0;2;2;0;0;2;2;0;0
110; 32.6 ; 260.5 ; 12.1 ;8;11;5;0;8;3;5;2;6;3;5;0
111; 33.0 ; 66.1 ; 4.6 ;2;8;8;0;2;1;1;1;1;1;1;0
112; 45.0 ; 225.1 ; 12.0 ;5;77;32;0;5;0;5;1;4;0;3;2
